Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1292613497,1567656863,1448449007,1360774759,1227157593,1337941166,1373829389,1333801423,1122372720,1412574532,1605306698,1725453561,1777159820,1840973998,2006203185,2051923932,2895643505,4342187750,4050919099,4008299045,5299463737,4774194829,5454261307,5527718440,6229406003,3546207932,2611989314,2823123079,2334278370,3902650742,5299463737
"Bahamas, The",BHS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,158165375.4,181313537.6,155332535.4,172283366.9,176619982,179199375.1,171391392.4,227046333.5,346518164.9,410499712.2,349644583.2,319252843.7,380645829.4,491108558.2,674401942.8,586297936.2,461331327.1,464482895.4,567909087.7,1009823820,1044153800,1070217425,846941347.8,807408405,874337064.8,895475136.3,1001933945,1413972941,1345344674,1757782754,1044153800
Bosnia and Herzegovina,BIH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,80406088.86,174530374.7,452403157.5,496626475.4,1233132927,1336266925,1813519793,2427266571,2547614647,3671010361,5041780929,4479825860,4575111867,4411161780,4247540639,4389987071,4984005031,4860208933,4790984891,5136418168,6473729519,6808433501,7207699940,4411161780
Belarus,BLR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,100987552.6,377020387.9,469150024.1,393699160.8,702756649.1,294270277.3,350495841.3,390676493.5,687361275.1,636538852.3,836974642.7,1341819427,1386410521,4178575862,3063153365,5640214197,5025440612,7863285897,8094992776,6654216940,5067715364,4172797260,4907608003,7315236709,7157559690,9393817369,5025440612
Belize,BLZ,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,69781501.9,53016557.67,52942515.78,38746495.1,34521492.18,37608482.67,58401982.78,59415503.25,44084978.8,71305511.29,122898988.2,112041498.8,114506518.2,84684001.23,48253483.79,71357473.86,113721681,108512535,166162897.2,213683331.6,217999757.4,237114250.4,288924768.8,402752296.2,486876774.5,437151657.9,376735092.7,312140148.2,294468435.1,277578761.1,217999757.4
Bolivia,BOL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,510931171.6,422359443.1,479572082.6,572438127.4,793388690.3,1005482847,1301661211,1359051283,1218866920,1248580100,1184108228,1146023735,892729137.8,1096941370,1271422925,1794984953,3193982720,5313631986,7719766413,8574579206,9730683979,11994673115,13924289443,14429068711,15129277524,13049620686,10053627485,10245969450,8929614183,6455449942,9730683979
Brazil,BRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,9997591008,9391631540,23750647504,32247610989,38810777748,51842389631,60152476088,52208520617,44487193726,36342324443,33015297296,35866445530,37832146718,49297286966,52934865186,53799284977,85842861115,1.80E+11,1.94E+11,2.39E+11,2.89E+11,3.52E+11,3.73E+11,3.59E+11,3.64E+11,3.56E+11,3.65E+11,3.74E+11,3.75E+11,3.57E+11,2.89E+11
Barbados,BRB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,117535619.4,87245215.49,139962500.7,150453016.9,195765859.5,219099891.1,289685885.7,264917582.8,365945246.4,301944450.8,472693479.4,690373664,668514868.7,737943173,579857104.1,603465289.1,636089800.4,839429792.7,738527014.8,871145394,833540950.4,812596875.6,839722748,680957827.2,632258680.1,553604323.9,431758242,265841633.1,533906813,772118649.5,833540950.4
Brunei Darussalam,BRN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,516845011.5,408340574.4,381821178.4,448994000.5,474743404,488889689.1,491885270.1,513570258.7,667491396.6,751159763.9,1357268957,1563162507,2583674788,3449167917,3575273902,3648818757,3366322585,3487053369,3488124300,3407126455,4272696958,1563162507
Bhutan,BTN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,88834210.6,101300000.9,85120004.69,97959126.31,121399997.7,130457701.2,190071378.1,188716779,256803120.6,292285630.2,317632400.6,323362186.7,354949465.1,366596385.8,398620011.7,467426180.8,545324764.6,699049465.4,764803120.5,890893416.6,1002139102,789643751.6,954678385.1,991306676.5,1245086667,1103179129,1127277332,1206238191,987247035.6,1238371618,1002139102
Botswana,BWA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,3331456030,3718662684,3793418942,4097336692,4401465618,4695481047,5027655243,5675003356,5940671351,6228827033,6318214000,5897250157,5473918814,5339775870,5661431015,6309056418,7992391905,9789741088,9118641528,8703960321,7885215352,8081885901,7627972585,7726052460,8322776203,7546144960,7188821775,7490512373,6656913638,6170221067,7885215352
