Country Name,Country Code,Indicator Name,Indicator Code,1960,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,BGR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,0.718077767,2.023808879,-1.174168204,-10.04195227,-5.216164592,18.94502898,-0.131868882,11.79990737,13.43477825,2.309404342,-1.739104138,0.654690041,2.982443438,1.97028656,1.097664273,2.270648658,0.142630413,-4.694507309,3.045283878,6.955479429,7.024101437,8.595103781,8.648451146,11.36730926,9.560268905,8.440506508,10.84233468,12.22952719,15.14013544,7.024101437,-1.739104138
Bahrain,BHR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,18.85481094,1.97309576,-1.224146853,-2.494427939,3.436445953,5.586713053,5.461414792,3.751154235,,,12.97136466,5.617342685,,14.36272735,13.59524256,25.60261622,31.72320625,37.21051221,33.85748786,19.51294266,21.42850427,16.53675396,25.21656803,21.13243872,19.67442873,13.51470777,16.63400329,20.4250882,19.91402517,21.42850427,12.97136466
"Bahamas, The",BHS,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,13.12545811,17.50590084,15.02393263,13.6810746,26.02104999,31.45289773,27.34586407,26.17437345,31.59530788,30.00204548,26.27678738,29.65579353,28.37166494,29.53963662,27.11925656,23.4711844,24.95176382,23.01453857,21.91936606,20.02298969,17.46044857,19.39425495,19.72340154,15.35593445,10.89740514,13.33206849,3.402162623,-3.525960328,20.02298969,30.00204548
Belarus,BLR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,12.25994811,7.188114586,6.338484109,5.040937099,7.733918707,8.610485002,6.499170317,9.201957465,6.445351375,6.20158772,9.147709423,13.56435103,15.27938491,17.5811881,16.90241411,18.80908815,14.30483703,14.64927999,18.69229782,18.52731052,15.91293686,14.99613145,16.24812059,13.43925621,14.48575947,15.72409785,14.64927999,9.201957465
Belize,BLZ,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,49.19998442,44.98772893,15.29894427,16.39070237,13.57309709,14.96486337,11.41600372,10.34901982,8.492295921,7.375942681,3.065239655,-6.465171649,-7.823139043,-9.758588215,-8.482958977,-4.58076935,1.718610416,-2.307710505,-2.585419166,-3.221153143,-6.272361312,-4.832991342,-3.051319658,-3.207854122,-1.650602751,2.813913612,-0.798047727,-2.117944514,-3.852429326,-6.272361312,3.065239655
Bolivia,BOL,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,-1.740666263,0.266717588,-0.240381406,-0.845428447,2.824121828,4.323383025,4.929434349,5.487707252,6.630175414,3.195207113,1.482942756,3.161971749,4.091967193,5.119380903,5.377204607,4.526350987,7.990664876,11.51290831,15.06343808,12.81028104,13.55618683,11.16141406,10.47327741,8.282335673,4.918610167,0.888361918,2.065084707,0.751057542,-0.818632517,13.55618683,1.482942756
Brazil,BRA,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,9.799609261,10.33836758,11.7757294,11.98494678,11.55503892,6.441740513,4.863074014,4.229104424,4.074953048,1.362709891,3.870743143,3.281744914,4.548973059,5.823548373,7.675853915,7.414360338,8.068505168,8.704585287,8.580440757,7.974086211,8.549209527,9.11994751,8.405762557,9.034239647,7.065766574,6.468363123,5.598311988,5.440248602,3.311790903,8.549209527,3.870743143
Barbados,BRB,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,12.3584206,9.977699582,12.34951795,11.09314073,13.2724126,5.996898449,7.614792846,6.52460454,7.605799478,5.287169662,4.89406606,3.637005133,4.75110108,7.247392427,2.412869086,-1.697786587,4.907110687,4.805720577,-2.74014292,2.67583626,-2.317295735,-8.548668767,-3.507846402,-3.495406522,-2.069690951,-0.193890138,-0.626937448,,,-2.317295735,4.89406606
Brunei Darussalam,BRN,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,18.27571739,24.66015496,24.14608822,20.78337252,25.2194618,27.39794989,28.2999665,35.81923074,25.3890103,36.65207063,35.98362865,37.75495425,38.71406706,38.330545,35.67731727,37.44142764,35.55358972,30.35704,36.65207063,
Botswana,BWA,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,32.82303194,35.73219391,31.1721287,32.35013236,20.74235966,19.04828493,28.79378454,30.04402752,32.09363684,34.93887919,35.02250085,39.76872621,28.99638543,25.55407762,23.85801058,31.54851177,31.02468534,30.29845669,24.67191169,14.31654645,21.02310829,29.16768666,27.24294918,23.1857968,27.55444511,23.37124832,22.46279816,23.39258362,20.49314596,21.02310829,35.02250085
