Country Name,Country Code,Indicator Name,Indicator Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.983515012,3.72810843,5.41683981,4.350390853,2.485378558,3.558128119,4.290949778,1.779433447,1.819174511,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784781,-3.82558197,0.307806291,3.14891562,4.37875209,4.223530425,2.062487229,4.71598559,7.144594642,4.149234046,2.625159596,2.704670969,-1.264526295,0.882740185,3.395260082,2.516853933,1.446733889,-2.323507236,-4.175805556,1.538385972,0.613384158,3.08668686,-2.678979525,1.054316467,0.230478124,1.444036489,3.115613515,3.025999168,1.217873857,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,20.7999984,88.95766682,34.38957382,15.59999682,9.599999696,5.500000506,4.39999928,5.300000633,3.999999711,6.099966798,8.759256846,5.414003571,5.859118402,5.441846789,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,3.089164152,3.149806916,3.171434875,3.740071092,2.678160823,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,-1.19999557,-9.600001396,-7.600001842,-11.7000039,-10.40000049,2.800004651,11.40000541,8.39999142,3.399999163,5.80000344,4.725305994,5.04526748,7.043192559,11.44974311,9.400001524,9.999994812,8.600006536,10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.149197594,1.222096629,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.133770823,-0.107710429,-2.14317997,1.972065025,1.012513914,4.539456957,10.73530413,9.787711442,13.00922113,11.44338873,11.46403642,12.05944536,6.275691918,0.131231062,0.656348756,1.416841088,3.579933323,3.724423327,8.784632434,13.0195599,4.687218316,4.729923655,9.334064127,4.787447363,1.951872937,4.819107503,0.510341123,3.487439872,0.219496449,3.001803659,1.922034605,2.413482778,1.30212494,3.635359987,2.849642368,0.085081197,1.870195151,2.078949278,0.273680469,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534382073,-0.059739309,3.008567209,0.599614253,4.399147648,2.600475942,4.600000152,3.900001275,3.382646692,9.317156443,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.459889943,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.275620022,-3.93874102,-4.04211847,-0.200675995,-1.676387144,-2.573874562,2.463477148,2.909504758,3.790130047,4.63578591,5.266527472,1.646496933,4.269293696,4.667270435,4.678272586,4.361343058,4.954208743,5.029352337,0.426889577,2.507807553,1.683800939,2.485564847,2.711340707,4.173294318,4.421434767,4.797009171,4.564382752,6.148497195,3.357001259,4.126721957,5.204092308,5.122275767,6.796011241,5.460569676,4.857187232,4.263920838,4.195206301,4.223623511,2.216705778,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.3933572,0.580245553,-3.409793474,5.26914315,7.945861749,7.988295105,3.599629467,-0.102672718,3.279458858,-3.102355949,1.511937238,-0.466913212,4.66516899,5.334551702,4.416731355,2.207535527,3.394845985,0.338097903,0.467937567,4.387949443,1.389896403,3.053461858,1.140828998,5.759964639,3.20213138,3.961988722,6.069870608,5.094195447,-0.125811999,7.52822583,3.974425406,1.921150318,3.004846305,0.50395574,-3.545763393,-3.275916908,1.322869054,1.317223999,1.136585572,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.899751571,-4.900938478,0.501253133,3.600374065,1.098239807,5.104166667,2.590967011,3.50538228,3.6,-3.307593308,-3.899906828,-5.692520776,0.793067998,2.010782457,2.013998,3.976477177,4.740102343,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,5.90270029,2.202086187,0.701030928,-5.077805078,-2.28645384,-0.673289183,-0.455606178,-1.406563965,-0.124547101,2.448701961,2.478698683,0.475110679,-0.580333154,-0.096135553,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-19.82671586,3.956654938,0.501465966,0.599876542,-1.49074908,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109865,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.90772904,3.413941475,11.31071362,4.482105129,4.211775036,11.73057663,28.69626536,4.987289699,7.432626446,10.87643469,-0.407875983,4.600890933,1.986367035,4.951503299,7.074117408,5.565172974,5.373838729,5.914030478,7.983972475,6.933023862,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.46452256,
